OutlierMethod,RMS used,Filter Type,Filter order,low,high,
STD 2,1,Chebyshev 2,3,200,500 
CH1,CH2,CH3,CH4,CH5 
-0.118561,0.064407,0.074066,-0.005219,0.005402
-0.112701,0.069168,0.211258,-0.009155,0.003250
-0.091507,0.070633,0.143234,-0.011398,0.009476
-0.067154,0.040649,0.136963,-0.016159,0.008560
-0.055893,-0.010162,0.084961,-0.009933,0.004944
-0.020096,-0.059280,0.008102,-0.004166,0.007004
0.136597,-0.082993,0.008377,0.023666,0.007645
0.291138,-0.075485,0.074341,0.018814,0.007645
0.377930,-0.054611,0.131241,0.009659,0.008743
0.300110,-0.036301,0.181366,0.006592,0.010483
0.186859,-0.002884,0.174545,0.003067,0.010300
0.059692,0.034882,0.200226,-0.001007,0.008560
-0.066010,0.056992,0.216660,-0.013046,0.005951
-0.213089,0.069992,0.281570,-0.012497,-0.000137
-0.318604,0.075806,0.268250,-0.013641,-0.002243
-0.374313,0.075760,0.161453,-0.015701,0.000320
-0.335678,0.094070,0.017532,-0.010941,0.002792
-0.179993,0.120941,-0.072922,0.006180,0.001694
0.039642,0.118057,-0.151703,0.011902,0.000137
0.250534,0.084595,-0.411530,0.010986,-0.002289
0.319016,0.031586,-0.372116,0.004761,0.001602
0.220459,-0.045364,-0.098373,0.000732,0.011856
0.057770,-0.137375,0.001099,0.006180,0.012863
-0.002243,-0.196426,-0.155640,0.001602,0.001511
-0.037262,-0.216568,-0.111603,0.003204,-0.000046
-0.028107,-0.204163,0.102402,0.001740,-0.001740
0.058640,-0.153717,0.135452,0.003525,-0.002106
0.107483,-0.087204,0.105423,0.009476,-0.001556
0.071503,-0.024445,-0.009933,0.012222,0.003754
-0.083038,0.014969,-0.132156,0.001328,0.000961
-0.237854,0.053558,-0.279831,-0.002884,0.006683
-0.348083,0.074066,-0.304688,-0.020370,0.006958
-0.332977,0.091507,-0.201736,-0.012268,0.011078
-0.241562,0.111328,0.033325,-0.016708,-0.001053
-0.184753,0.109955,0.232864,-0.009109,-0.005264
-0.128311,0.088211,0.197342,-0.003204,-0.005630
-0.063126,0.041565,0.092606,0.004715,-0.005219
0.129913,-0.018173,0.146439,0.010162,-0.003662
0.334808,-0.043945,0.250854,0.001144,-0.003799
0.380127,-0.023117,0.423660,-0.001282,-0.001007
0.308945,-0.008102,0.434647,0.008377,-0.001190
0.214233,0.020599,0.296860,0.008560,-0.003799
0.195007,0.026047,0.179031,0.012680,-0.005356
0.319061,0.015564,0.064087,0.014969,-0.001328
0.359985,-0.005585,-0.045044,0.004715,-0.005768
0.242432,-0.035110,-0.113937,-0.014969,0.001785
0.068710,-0.060928,-0.193680,-0.012726,0.005081
-0.149048,-0.117142,-0.686119,-0.006409,0.000275
-0.267288,-0.127213,-0.948109,0.001465,-0.001602
-0.276672,-0.128998,-0.798494,0.018677,-0.001465
-0.232864,-0.092743,-0.648880,0.004623,-0.003799
-0.118469,-0.053009,-0.104645,-0.000092,-0.003937
-0.028381,-0.006592,0.277679,0.015381,0.002014
-0.041245,0.019913,0.466690,0.011719,0.007965
-0.003571,0.018082,0.493973,-0.005219,0.007645
-0.008698,0.014969,0.417435,-0.000412,0.008835
-0.083725,-0.003159,0.452133,-0.005173,0.004944
-0.127579,0.000320,0.324966,-0.007736,0.000320
-0.176697,0.010391,0.294983,-0.010895,-0.006317
-0.215332,0.040237,0.378845,-0.014328,-0.004440
-0.221695,0.059555,0.221466,-0.013824,-0.000412
-0.203247,0.098465,-0.088623,-0.005630,0.004440
-0.114716,0.117508,-0.405533,0.004211,0.007416
0.000000,0.124466,-0.442245,0.001328,0.005127
0.150009,0.105560,-0.234695,0.009521,0.000320
0.305008,0.073380,-0.125153,0.001328,0.003250
0.382370,0.011124,-0.130508,0.004807,0.006592
0.348633,-0.046783,-0.081985,0.010117,0.002380
0.351883,-0.082352,0.125702,0.007004,0.004807
0.330139,-0.114395,0.429932,0.009750,0.006958
0.275391,-0.091553,0.539383,-0.003754,0.004715
0.170242,-0.060104,0.572754,-0.008743,-0.000046
0.102859,-0.052414,0.429794,-0.003387,-0.001007
